temp_max,precipitação_mm,Preço_kg_orig,temp_max_orig,precipitação_mm_orig,Preço_kg,data_med
0.23076923076923067,0.0,1.54,28.5,0.0,1.54,2022-07-15
0.07692307692307666,0.0,1.54,26.9,0.0,1.54,2022-07-22
0.07692307692307666,0.0,1.48,26.9,0.0,1.48,2022-07-28
0.36538461538461514,0.0,1.34,29.9,0.0,1.34,2022-08-05
0.11538461538461534,0.06675224646983313,1.1,27.3,10.4,1.1,2022-08-12
0.33653846153846156,0.0,1.08,29.6,0.0,1.08,2022-08-19
0.4423076923076922,0.0,1.02,30.7,0.0,1.02,2022-08-25
0.43269230769230776,0.0,1.4,30.6,0.0,1.4,2022-09-01
0.692307692307692,0.0,1.4,33.3,0.0,1.4,2022-09-09
0.5865384615384618,0.052631578947368425,1.4,32.2,8.2,1.4,2022-09-15
0.41346153846153827,0.3671373555840822,1.4,30.4,57.2,1.4,2022-09-23
0.11538461538461534,0.046213093709884474,1.4,27.3,7.2,1.4,2022-09-30
0.4423076923076922,0.467265725288832,1.32,30.7,72.80000000000001,1.32,2022-10-06
0.528846153846154,0.007702182284980747,1.32,31.6,1.2000000000000002,1.32,2022-10-14
0.423076923076923,0.051347881899871634,1.11,30.5,8.0,1.11,2022-10-21
0.41346153846153827,0.052631578947368425,1.11,30.4,8.2,1.11,2022-10-27
0.14423076923076925,0.0025673940949935818,1.06,27.6,0.4,1.06,2022-11-04
0.2884615384615385,0.03465982028241336,1.0,29.1,5.4,1.0,2022-11-10
0.3942307692307691,0.16302952503209245,0.92,30.2,25.4,0.92,2022-11-18
0.33653846153846156,0.22207958921694484,0.9,29.6,34.6,0.9,2022-11-25
0.1346153846153845,0.7522464698331197,0.9,27.5,117.20000000000005,0.9,2022-12-01
0.1346153846153845,0.7522464698331197,0.76,27.5,117.20000000000005,0.76,2022-12-07
0.2596153846153846,0.40436456996148923,0.7,28.8,63.000000000000014,0.7,2022-12-15
0.23076923076923067,0.540436456996149,1.06,28.5,84.2,1.06,2022-12-22
0.0,0.26187419768934533,0.69,26.1,40.8,0.69,2022-12-30
0.0,0.26187419768934533,1.0,26.1,40.8,1.0,2022-12-30
0.0,0.9666238767650835,1.5,26.1,150.6,1.5,2023-01-06
0.24999999999999983,1.0,2.0,28.7,155.79999999999998,2.0,2023-01-12
0.2980769230769229,0.07060333761232349,2.59,29.2,10.999999999999998,2.59,2023-08-18
0.6538461538461536,0.0423620025673941,2.53,32.9,6.6000000000000005,2.53,2023-08-25
0.5,0.0,2.62,31.3,0.0,2.62,2023-09-08
0.7019230769230768,0.0012836970474967909,2.59,33.4,0.2,2.59,2023-09-15
0.9711538461538465,0.1591784338896021,2.59,36.2,24.800000000000004,2.59,2023-09-22
0.49038461538461525,0.14634146341463417,2.4,31.2,22.8,2.4,2023-09-29
0.5480769230769231,0.7163029525032095,2.4,31.8,111.60000000000002,2.4,2023-10-06
0.6442307692307689,0.5481386392811298,1.75,32.8,85.40000000000002,1.75,2023-10-13
0.528846153846154,0.11296534017971761,1.75,31.6,17.6,1.75,2023-10-20
0.6442307692307689,0.1643132220795892,1.75,32.8,25.599999999999994,1.75,2023-10-27
0.5192307692307692,0.19897304236200258,1.56,31.5,31.0,1.56,2023-11-03
1.0,0.0,1.58,36.5,0.0,1.58,2023-11-10
0.894230769230769,0.13863928112965343,1.23,35.4,21.6,1.23,2023-11-17
0.528846153846154,0.033376123234916566,1.2,31.6,5.2,1.2,2023-11-24
0.528846153846154,0.047496790757381266,1.11,31.6,7.4,1.11,2023-12-01
0.528846153846154,0.047496790757381266,1.11,31.6,7.4,1.11,2023-12-07
0.5480769230769231,0.36842105263157904,1.67,31.8,57.400000000000006,1.67,2023-12-14
0.576923076923077,0.07317073170731708,1.67,32.1,11.4,1.67,2023-12-21
